name,vicinity,place_id,lat,lng
Lowe's Market,"622 Ave G, Hale Center",ChIJX_wm2f7kAYcR_NuVTubsH8I,34.0640735,-101.8461677
Walmart Supercenter,"1501 I-27, Plainview",ChIJy0gw93fpAYcREeqOLlNQeso,34.1959782,-101.7532754
Walmart Garden Center,"1501 I-27, Plainview",ChIJf2BO8XfpAYcRhLGXlolw8kA,34.1959782,-101.7532754
Sutherlands HomeBase,"2801 Dimmitt, Plainview",ChIJqdua5lbpAYcR8Hyboo3lC6c,34.2085113,-101.7355957
Tractor Supply Co.,"1001 27th Street Ste 1, Plainview",ChIJn4DvhHXpAYcRSLp7TFUDmxg,34.1894818,-101.753768
Lowe's Home Improvement,"720 University Pl, Durant",ChIJz2Ct9QmgTIYRGXIj0TWc4z8,34.003582,-96.408859
Lowe's Garden Center,"720 University Pl, Durant",ChIJZ1rvGAqgTIYRdVJKOwp1PZk,34.0033069,-96.4095912
Lowe's ProServices,"720 University Pl, Durant",ChIJ2XQaGQqgTIYRui_YdHGeikc,34.0036264,-96.40885949999999
Lowe’s Auto Recon,"254 US-69, Atoka",ChIJma9ZXaG1tIcRYDR-Bhv5KIE,34.3988505,-96.1188846
Walmart,"1983 S Mississippi Ave, Atoka",ChIJoXiR7ru0tIcR83RrP7lXI0c,34.36621179999999,-96.142656
Lowe's Home Improvement,"1135 MS-6, Batesville",ChIJ90xVK10bgIgRbVjwA3Ef1mA,34.311742,-89.909447
Lowe's ProServices,"1135 MS-6 East, Batesville",ChIJT96vB0EbgIgRFGeZcxzDA8Y,34.3117049,-89.90944239999999
Lowe's Garden Center,"1135 MS-6, Batesville",ChIJiSllNUAbgIgRi5puvWDwOvM,34.3113823,-89.91018000000001
Lowe Mountain,"Lowe Mountain, Mississippi 38606, United States",ChIJa6-yPpUSgIgRXh0nkqllQoI,34.3095521,-89.7206427
Lotts Ace Hardware,"139 U.S. Hwy 51, Batesville",ChIJA0wXp7gcgIgR2qX6jxiWaCY,34.314696,-89.94424099999999
Lowe's Home Improvement,"575 Molly Ln, Woodstock",ChIJeXjSpJ9r9YgR2rdcupdtQng,34.0818454,-84.53977689999999
Lowe's Home Improvement,"3250 Cobb Pkwy NW, Kennesaw",ChIJESb8K1k_9YgRPQgxfmViupM,34.0356294,-84.6729263
Lowe's Home Improvement,"2035 Beaver Ruin Rd, Norcross",ChIJaedmQfej9YgRWWbU4l14bF8,33.9319905,-84.17556820000001
Lowe's Home Improvement,"3580 Peachtree Pkwy, Suwanee",ChIJc_miqT2Z9YgRZKStOyQvdsY,34.0732465,-84.16789039999999
Lowe's Home Improvement,"3260 Lawrenceville-Suwanee Rd, Suwanee",ChIJldH2MzaW9YgRi2N_RJtOeSo,34.0362225,-84.0550512
Lowe's Home Improvement,"2650 Dallas Hwy W, Marietta",ChIJMW-oanU-9YgRUdWCtGNSPNw,33.9486418,-84.62805449999999
Lowe's Home Improvement,"1955 Buford Mill Dr, Buford",ChIJ85U6-XCU9YgRnSpEUlaTKkM,34.0869978,-83.98762219999999
